#,Company,Symbol,Weight,Price,Change,,,,,,,,,,,,,,,,,#
173,Allstate Corporation,ALL,0.136265,102.29,-0.64 (-0.62%),,,,,,,,,,,,,,,,,
174,Constellation Brands Inc. Class A,STZ,0.136068,202.81,-1.11 (-0.54%),,,,,,,,,,,,,,,,,
175,Welltower Inc.,WELL,0.134139,83.13,0.00 (0.00%),,,,,,,,,,,,,,,,,
176,eBay Inc.,EBAY,0.134031,41.1,-0.13 (-0.32%),,,,,,,,,,,,,,,,,
177,Moody's Corporation,MCO,0.133286,203.4,0.00 (0.00%),,,,,,,,,,,,,,,,,
178,Sysco Corporation,SYY,0.132265,70.89,0.00 (0.00%),,,,,,,,,,,,,,,,,
179,Johnson Controls International plc,JCI,0.131177,41.2,0.00 (0.00%),,,,,,,,,,,,,,,,,
180,HP Inc.,HPQ,0.130373,21.3,-0.22 (-1.02%),,,,,,,,,,,,,,,,,
181,General Mills Inc.,GIS,0.128963,53.64,0.00 (0.00%),,,,,,,,,,,,,,,,,
182,Xilinx Inc.,XLNX,0.128837,120.7,-0.07 (-0.06%),,,,,,,,,,,,,,,,,
183,Lam Research Corporation,LRCX,0.128206,209.47,-1.28 (-0.61%),,,,,,,,,,,,,,,,,
184,Williams Companies Inc.,WMB,0.12712,25.16,0.03 (0.12%),,,,,,,,,,,,,,,,,
185,Newmont Goldcorp Corporation,NEM,0.12465,37.27,-0.01 (-0.03%),,,,,,,,,,,,,,,,,
186,Xcel Energy Inc.,XEL,0.124189,60.51,0.00 (0.00%),,,,,,,,,,,,,,,,,
187,TE Connectivity Ltd.,TEL,0.124174,93.65,0.00 (0.00%),,,,,,,,,,,,,,,,,
188,Public Service Enterprise Group Inc,PEG,0.120248,59.54,0.00 (0.00%),,,,,,,,,,,,,,,,,
189,Discover Financial Services,DFS,0.120123,92.91,0.00 (0.00%),,,,,,,,,,,,,,,,,
190,Advanced Micro Devices Inc.,AMD,0.119714,34.02,0.00 (0.00%),,,,,,,,,,,,,,,,,
191,O'Reilly Automotive Inc.,ORLY,0.119228,387.8,4.01 (1.04%),,,,,,,,,,,,,,,,,
192,Ingersoll-Rand Plc,IR,0.118394,122.58,0.00 (0.00%),,,,,,,,,,,,,,,,,
193,SunTrust Banks Inc.,STI,0.116686,66.46,0.00 (0.00%),,,,,,,,,,,,,,,,,
194,V.F. Corporation,VFC,0.11574,88.61,0.00 (0.00%),,,,,,,,,,,,,,,,,
195,AvalonBay Communities Inc.,AVB,0.115608,208.38,0.00 (0.00%),,,,,,,,,,,,,,,,,
196,Equity Residential,EQR,0.115236,78.56,0.00 (0.00%),,,,,,,,,,,,,,,,,
197,Hilton Worldwide Holdings Inc,HLT,0.113463,97.48,0.27 (0.28%),,,,,,,,,,,,,,,,,
198,Consolidated Edison Inc.,ED,0.112886,86.34,0.00 (0.00%),,,,,,,,,,,,,,,,,
199,PPG Industries Inc.,PPG,0.1128,117.94,0.00 (0.00%),,,,,,,,,,,,,,,,,
200,AutoZone Inc.,AZO,0.112777,1146.18,0.00 (0.00%),,,,,,,,,,,,,,,,,
201,ONEOK Inc.,OKE,0.11258,68.49,0.00 (0.00%),,,,,,,,,,,,,,,,,
202,Amphenol Corporation Class A,APH,0.112401,95.28,0.00 (0.00%),,,,,,,,,,,,,,,,,
203,Motorola Solutions Inc.,MSI,0.1116,170.1,0.00 (0.00%),,,,,,,,,,,,,,,,,
204,Twitter Inc.,TWTR,0.110763,41.39,-0.13 (-0.31%),,,,,,,,,,,,,,,,,
205,Paychex Inc.,PAYX,0.109022,86.58,0.00 (0.00%),,,,,,,,,,,,,,,,,
206,T. Rowe Price Group,TROW,0.108949,115.2,0.00 (0.00%),,,,,,,,,,,,,,,,,
207,Southwest Airlines Co.,LUV,0.108897,53.3,0.05 (0.09%),,,,,,,,,,,,,,,,,
208,WEC Energy Group Inc,WEC,0.108006,86.66,0.00 (0.00%),,,,,,,,,,,,,,,,,
209,Electronic Arts Inc.,EA,0.107353,89.8,0.29 (0.32%),,,,,,,,,,,,,,,,,
210,SBA Communications Corp. Class A,SBAC,0.10577,236.82,0.00 (0.00%),,,,,,,,,,,,,,,,,
211,McKesson Corporation,MCK,0.10563,138.95,0.00 (0.00%),,,,,,,,,,,,,,,,,
212,Alexion Pharmaceuticals Inc.,ALXN,0.105193,114.33,-0.30 (-0.26%),,,,,,,,,,,,,,,,,
213,Corning Inc,GLW,0.103541,33.79,0.00 (0.00%),,,,,,,,,,,,,,,,,
214,Global Payments Inc.,GPN,0.103453,169.64,0.00 (0.00%),,,,,,,,,,,,,,,,,
215,IQVIA Holdings Inc,IQV,0.101738,159.88,0.00 (0.00%),,,,,,,,,,,,,,,,,
216,Willis Towers Watson Public Limited Company,WLTW,0.101242,199.18,0.00 (0.00%),,,,,,,,,,,,,,,,,
217,Dollar Tree Inc.,DLTR,0.101138,106.1,0.00 (0.00%),,,,,,,,,,,,,,,,,
218,Zimmer Biomet Holdings Inc.,ZBH,0.101043,134,-0.50 (-0.37%),,,,,,,,,,,,,,,,,
219,Cummins Inc.,CMI,0.100958,174.74,0.00 (0.00%),,,,,,,,,,,,,,,,,
220,Monster Beverage Corporation,MNST,0.100624,65.36,0.16 (0.25%),,,,,,,,,,,,,,,,,
221,T-Mobile US Inc.,TMUS,0.100166,84,-0.25 (-0.30%),,,,,,,,,,,,,,,,,
222,Ventas Inc.,VTR,0.099952,67.03,0.00 (0.00%),,,,,,,,,,,,,,,,,
223,FleetCor Technologies Inc.,FLT,0.099301,287.23,0.00 (0.00%),,,,,,,,,,,,,,,,,
224,PACCAR Inc,PCAR,0.098901,71.67,0.00 (0.00%),,,,,,,,,,,,,,,,,
225,Eversource Energy,ES,0.098094,76.24,0.00 (0.00%),,,,,,,,,,,,,,,,,
226,Verisk Analytics Inc,VRSK,0.097611,152.51,0.00 (0.00%),,,,,,,,,,,,,,,,,
227,Ball Corporation,BLL,0.097026,72.14,0.00 (0.00%),,,,,,,,,,,,,,,,,
228,IDEXX Laboratories Inc.,IDXX,0.096829,284.99,1.05 (0.37%),,,,,,,,,,,,,,,,,
229,TransDigm Group Incorporated,TDG,0.096745,496,0.00 (0.00%),,,,,,,,,,,,,,,,,
