Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,OMC,0,0,0,0,17770000000.0,22950000000.0,13.72,12.88,2.89,1.19,7.37,1.53,9.88,8.89,13.87,5.5,45.88,14990000000.0,67.2,-3.6,2800000000.0,2320000000.0,1330000000.0,5.95,1.8,2900000000.0,13.35,7270000000.0,226.06,0.85,11.08,1800000000.0,1360000000.0,0.34,81.71,77.96,1920000.0,220170000.0,215970000.0,0.91,107.15,25940000.0,13.08,11.87,26570000.0
0,0,ORCL,0,0,0,0,195150000000.0,214290000000.0,19.7,14.06,1.59,4.94,9.02,5.42,13.32,28.05,35.49,7.11,32.01,39510000000.0,10.87,1.1,31510000000.0,16079999999.999998,11080000000.0,2.97,14.2,37830000000.0,11.34,56400000000.0,252.19,2.49,6.49,14550000000.0,10220000000.0,1.15,57.03,53.62,14290000.0,3420000000.0,2190000000.0,33.39,58.6,61930000.0,2.91,2.34,57090000.0
0,0,ORLY,0,0,0,0,29430000000.0,35100000000.0,22.89,19.48,1.34,3.0,203.39,3.58,16.49,13.69,19.06,12.99,506.48,9800000000.0,123.84,5.4,5040000000.0,2130000000.0,1340000000.0,16.77,0.2,55810000.0,0.73,5720000000.0,3953.15,0.85,1.89,1700000000.0,850660000.0,0.74,385.86,375.4,78280000.0,78280000.0,75170000.0,2.17,88.15,1320000.0,2.47,1.72,1270000.0
0,0,OXY,0,0,0,0,38610000000.0,47860000000.0,9.7,15.63,-2.57,2.14,1.82,2.65,5.38,22.44,24.62,6.38,19.32,18070000000.0,23.85,6.4,11260000000.0,8890000000.0,4040000000.0,5.32,-10.9,1750000000.0,2.34,11020000000.0,51.91,1.23,28.4,7610000000.0,1050000000.0,1.16,50.34,59.52,10950000.0,747880000.0,746630000.0,0.12,86.67,46910000.0,6.27,6.28,38200000.0
0,0,P,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,PAYX,0,0,0,0,31110000000.0,31200000000.0,30.27,25.92,3.04,8.25,11.87,8.27,20.02,27.42,36.49,10.37,41.57,3770000000.0,10.5,15.9,2590000000.0,1560000000.0,1030000000.0,2.86,5.8,712600000.0,1.98,796400000.0,30.4,1.17,7.29,1270000000.0,1190000000.0,0.88,85.39,80.43,1940000.0,359690000.0,320610000.0,10.81,69.88,10430000.0,4.19,3.25,11560000.0
0,0,PBCT,0,0,0,0,6680000000.0,10620000000.0,12.83,11.81,0.91,4.0,0.97,6.36,,29.82,41.87,1.04,7.69,1670000000.0,4.53,14.7,1570000000.0,,483500000.0,1.31,20.9,515200000.00000006,1.31,4310000000.0,,,17.34,,,1.41,16.51,16.69,3170000.0,347440000.0,389070000.0,0.66,75.64,24710000.0,8.74,8.7,21800000.0
0,0,PBI,0,0,0,0,708450000.0,3230000000.0,4.57,4.22,-0.61,0.2,8.32,0.93,6.29,4.61,8.9,3.2,97.64,3490000000.0,18.68,-3.1,1630000000.0,513809999.99999994,147030000.0,0.857,,904310000.0,5.0,3430000000.0,3966.7,1.25,0.47,392360000.0,207460000.0,2.66,4.1503,5.8439,3330000.0,180730000.0,179310000.0,0.55,74.06,33690000.0,12.44,21.11,33490000.000000004
0,0,PCAR,0,0,0,0,24820000000.0,32610000000.0,10.56,12.53,-8.32,0.99,2.58,1.3,9.51,9.43,11.87,7.27,25.76,25150000000.0,72.17,14.2,3520000000.0,3430000000.0,2370000000.0,6.79,10.7,4179999999.9999995,12.07,11980000000.0,124.29,1.3,27.82,2980000000.0,13480000000.0,1.43,70.8,68.31,1620000.0,346440000.0,339950000.0,2.19,64.77,9360000.0,7.14,2.75,9510000.0
0,0,PCG,0,0,0,0,9900000000.0,32729999999.999996,,4.41,1.08,0.59,0.77,1.96,6.76,-42.82,10.55,1.47,-43.23,16710000000.0,32.16,-1.1,5150000000.0,4840000000.0,-7160000000.0,-13.78,-69.2,2960000000.0,5.6,25550000000.0,194.6,1.61,24.33,5480000000.0,-3970000000.0,0.47,20.25,18.29,7710000.0,529210000.00000006,528039999.99999994,0.21,92.86,35460000.0,3.82,6.71,36060000.0
